id,フェス名,場所,都道府県,地方
1,WILD BUNCH,山口きらら博記念公園,山口,中国
2,MONSTER baSH ,国営讃岐まんのう公園,香川,四国
3,ナンバーショット,PayPayドーム,福岡,九州
4,SUMMER SONIC OSAKA,舞洲SONIC PARK（舞洲スポーツアイランド）,大阪,関西
5,TOKYO METROPOLITAN ROCK FESTIVAL,新木場 若洲公園,東京,関東
6,京都大作戦,立山城総合運動公園　太陽が丘特設野外ステージ,京都,近畿
7,FUJI ROCK FESTIVAL,苗場スキー場,新潟,中部
9,ONE FES  -IMIZU MUSIC FESTIVAL,海王丸パーク,富山,中部
10,ROCK IN JAPAN,千葉市蘇我スポーツ公園,千葉,関東
11,百万石音楽祭,石川県産業展示館,石川,中部
12,ONE PARK FESTIVAL,福井市中央公園,福井,中部
13,中津川 THE SOLAR BUDOKAN,岐阜県中津川特設ステージ,岐阜,中部
14,Sky Jamboree,稲佐山公園野外ステージ,長崎,九州
15,ジゴロック,大分スポーツ公園,大分,九州
16,WALK INN FES!,国分キャンプ海水浴場,鹿児島,九州
17,桃太郎フェス,マスカットスタジアム（岡山県倉敷スポーツ公園野球場）,岡山,中国
18,RISING SUN ROCK FESTIVAL,石狩湾新港樽川ふ頭横野外特設ステージ,北海道,北海道
19,INAZUMA ROCKFES,烏丸半島芝生広場,滋賀,近畿
20,GREENROOM FESTIVAL,横浜赤レンガ倉庫,神奈川,関東
21,YON FES,愛知 モリコロパーク（愛・地球博記念公園）,愛知,中部
22,ARABAKI ROCK FEST,みちのく公園北地区 エコキャンプみちのく,宮城,東北
23,HY SKY Fes ,沖縄県総合運動公園 多目的広場,沖縄,九州
24,LuckyFes,国営ひたち海浜公園,茨城,関東
25,OGA NAMAHAGE ROCK FESTIVAL,秋田県男鹿市の船川港内特設ステージ,秋田,東北
26,FUJI & SUN'23,富士山こどもの国.,静岡,中部
27,Karatsu Seaside Camp in 玄界灘,佐賀県唐津市の波戸岬,佐賀,九州
28,SPACE SHOWER SWEET LOVE SHOWER ,山中湖交流プラザ きらら,山梨,中部
29,アルペンアウトドアーズ プレゼンツ HAKUBA ヤッホー!FESTIVAL,白馬岩岳マウンテンリゾート山頂エリア　特設ステージ,長野,中部
30,ONE MUSIC CAMP ,三田アスレチック 野外ステージ,兵庫,近畿
31,1CHANCE FESTIVAL,熊本県農業公園 カントリーパーク,熊本,九州
32,THE DROP FESTIVAL,宮崎・こどものくに,宮崎,九州
33,ExcitingSummerInWAJIKI,大塚製薬徳島ワジキ工場,徳島,九州
